,Question,Answer Label,Answer
53,What is the maximum size of a result as a socket?,19,"Introduction to Abaco - Messages, Executions, and Logs - Messages - Binary Messages - cURL. Python with Tapipy Setting up an Tapis object with token and API address information:. Creating actor with the TensorFlow image classifier docker image:. The following creates a binary message from a JPEG image file:. Sending binary JPEG file to actor as message with the sendBinaryMessage function (You can  also just set the headers with Content-Type: application/octet-stream):. The following returns information pertaining to the execution:. Once the execution has complete, the logs can be called with the following:. . Sending binary from execution Another useful feature of Abaco is the ability to write to a socket connected  to an Abaco endpoint from within an execution. This Unix Domain (Datagram)  socker is mounted in the actor container at /_abaco_results.sock. In order to write binary data this socket you can use tapipy functions,  in particular the send_bytes_result() function that sends bytes as single  result to the socket. Another useful function is the send_python_result()  function that allows you to send any Python object that can be pickled with  cloudpickle. In order to retrieve these results from Abaco you can get the  /actors/<actor_id>/executions/<execution_id>/results endpoint. Each get of  the endpoint will result in exactly one result being popped and retrieved. An  empty result with be returned if the results queue is empty. As a socket, the maximum size of a result is 131072 bytes. An execution can  send multiple results to the socket and said results will be added to a queue.  It is recommended to to return a reference to a file or object store. As well, results are sent to the socket and available immediately, an execution  does not have to complete to pop a result. Results are given an expiry time of  60 minutes from creation..  cURL To retrieve a result with cURL you would do the following:"
54,How long is the expiry time for an execution with cURL?,19,"Introduction to Abaco - Messages, Executions, and Logs - Messages - Binary Messages - cURL. Python with Tapipy Setting up an Tapis object with token and API address information:. Creating actor with the TensorFlow image classifier docker image:. The following creates a binary message from a JPEG image file:. Sending binary JPEG file to actor as message with the sendBinaryMessage function (You can  also just set the headers with Content-Type: application/octet-stream):. The following returns information pertaining to the execution:. Once the execution has complete, the logs can be called with the following:. . Sending binary from execution Another useful feature of Abaco is the ability to write to a socket connected  to an Abaco endpoint from within an execution. This Unix Domain (Datagram)  socker is mounted in the actor container at /_abaco_results.sock. In order to write binary data this socket you can use tapipy functions,  in particular the send_bytes_result() function that sends bytes as single  result to the socket. Another useful function is the send_python_result()  function that allows you to send any Python object that can be pickled with  cloudpickle. In order to retrieve these results from Abaco you can get the  /actors/<actor_id>/executions/<execution_id>/results endpoint. Each get of  the endpoint will result in exactly one result being popped and retrieved. An  empty result with be returned if the results queue is empty. As a socket, the maximum size of a result is 131072 bytes. An execution can  send multiple results to the socket and said results will be added to a queue.  It is recommended to to return a reference to a file or object store. As well, results are sent to the socket and available immediately, an execution  does not have to complete to pop a result. Results are given an expiry time of  60 minutes from creation..  cURL To retrieve a result with cURL you would do the following:"
55,What does Abaco provide for sending a synchronous message to an actor?,20,"Introduction to Abaco - Messages, Executions, and Logs - Messages - Synchronous Messaging. Synchronous Messaging. Important Support for Synchronous Messaging was added in version 1.1.. Starting with 1.1, Abaco provides support for sending a synchronous message to an actor; that is, the client  sends the actor a message and the request blocks until the execution completes. The result of the execution is returned  as an HTTP response to the original message request. Synchronous messaging prevents the client from needing to poll the executions endpoint to determine when an execution  completes. By eliminating this polling and returning the response as soon as it is ready, the overall latency  is minimized. While synchronous messaging can simplify client code and improve performance, it introduces some additional challenges.  Primarily, if the execution cannot be completed within the HTTP request/response window, the request will time out.  This window is usually about 30 seconds.. Warning Abaco strictly adheres to message ordering and, in particular, synchronous messages do not skip to the front of the  actor’s message queue. Therefore, a synchronous message and all queued messages must be processed within the HTTP  timeout window. To avoid excessive synchronous message requests, Abaco will return a 400 level request if the actor  already has more than 3 queued messages at the time of the synchronous message request.. To send a synchronous message, the client appends _abaco_synchronous=true query parameter to the request; the rest of  the messaging semantics follows the rules and conventions of asynchronous messages."
56,What is the result of the execution returned as an HTTP response to the original message request?,20,"Introduction to Abaco - Messages, Executions, and Logs - Messages - Synchronous Messaging. Synchronous Messaging. Important Support for Synchronous Messaging was added in version 1.1.. Starting with 1.1, Abaco provides support for sending a synchronous message to an actor; that is, the client  sends the actor a message and the request blocks until the execution completes. The result of the execution is returned  as an HTTP response to the original message request. Synchronous messaging prevents the client from needing to poll the executions endpoint to determine when an execution  completes. By eliminating this polling and returning the response as soon as it is ready, the overall latency  is minimized. While synchronous messaging can simplify client code and improve performance, it introduces some additional challenges.  Primarily, if the execution cannot be completed within the HTTP request/response window, the request will time out.  This window is usually about 30 seconds.. Warning Abaco strictly adheres to message ordering and, in particular, synchronous messages do not skip to the front of the  actor’s message queue. Therefore, a synchronous message and all queued messages must be processed within the HTTP  timeout window. To avoid excessive synchronous message requests, Abaco will return a 400 level request if the actor  already has more than 3 queued messages at the time of the synchronous message request.. To send a synchronous message, the client appends _abaco_synchronous=true query parameter to the request; the rest of  the messaging semantics follows the rules and conventions of asynchronous messages."
57,How long does the request time out if the actor has more than 3 queued messages?,20,"Introduction to Abaco - Messages, Executions, and Logs - Messages - Synchronous Messaging. Synchronous Messaging. Important Support for Synchronous Messaging was added in version 1.1.. Starting with 1.1, Abaco provides support for sending a synchronous message to an actor; that is, the client  sends the actor a message and the request blocks until the execution completes. The result of the execution is returned  as an HTTP response to the original message request. Synchronous messaging prevents the client from needing to poll the executions endpoint to determine when an execution  completes. By eliminating this polling and returning the response as soon as it is ready, the overall latency  is minimized. While synchronous messaging can simplify client code and improve performance, it introduces some additional challenges.  Primarily, if the execution cannot be completed within the HTTP request/response window, the request will time out.  This window is usually about 30 seconds.. Warning Abaco strictly adheres to message ordering and, in particular, synchronous messages do not skip to the front of the  actor’s message queue. Therefore, a synchronous message and all queued messages must be processed within the HTTP  timeout window. To avoid excessive synchronous message requests, Abaco will return a 400 level request if the actor  already has more than 3 queued messages at the time of the synchronous message request.. To send a synchronous message, the client appends _abaco_synchronous=true query parameter to the request; the rest of  the messaging semantics follows the rules and conventions of asynchronous messages."
58,What is the name of the example that uses the curl command line client to send a synchronous message?,21,"Introduction to Abaco - Messages, Executions, and Logs - Messages - Synchronous Messaging - cURL. cURL The following example uses the curl command line client to send a synchronous message:. As stated above, the request blocks until the execution (and all previous executions queued for the actor) completes.  To make the response to a synchronous message request, Abaco uses the following rules:.  If a (binary) result is registered by the actor for the execution, that result is returned with along with a content-type application/octet-stream. If no result is available when the execution completes, the logs associated with the execution are returned with content-type text/html (charset utf8 is assumed)."
59,What does Abaco use to make the response to a message request?,21,"Introduction to Abaco - Messages, Executions, and Logs - Messages - Synchronous Messaging - cURL. cURL The following example uses the curl command line client to send a synchronous message:. As stated above, the request blocks until the execution (and all previous executions queued for the actor) completes.  To make the response to a synchronous message request, Abaco uses the following rules:.  If a (binary) result is registered by the actor for the execution, that result is returned with along with a content-type application/octet-stream. If no result is available when the execution completes, the logs associated with the execution are returned with content-type text/html (charset utf8 is assumed)."
60,How is the result returned?,21,"Introduction to Abaco - Messages, Executions, and Logs - Messages - Synchronous Messaging - cURL. cURL The following example uses the curl command line client to send a synchronous message:. As stated above, the request blocks until the execution (and all previous executions queued for the actor) completes.  To make the response to a synchronous message request, Abaco uses the following rules:.  If a (binary) result is registered by the actor for the execution, that result is returned with along with a content-type application/octet-stream. If no result is available when the execution completes, the logs associated with the execution are returned with content-type text/html (charset utf8 is assumed)."
61,"What is the introduction to Abaco - Messages, Executions, and Logs - Executions?",22,"Introduction to Abaco - Messages, Executions, and Logs - Executions. Executions Once you send a message to an actor, that actor will create an execution for the actor  with the inputted data. This execution will be queued waiting for a worker to spool up  or waiting for a worker to be freed. When the execution is initially created it is  given an execution_id so that you can access information about it using the execution_id endpoint."
62,What happens when a worker is spooling up or waiting for the worker to be freed?,22,"Introduction to Abaco - Messages, Executions, and Logs - Executions. Executions Once you send a message to an actor, that actor will create an execution for the actor  with the inputted data. This execution will be queued waiting for a worker to spool up  or waiting for a worker to be freed. When the execution is initially created it is  given an execution_id so that you can access information about it using the execution_id endpoint."
63,When the execution is created it is given what?,22,"Introduction to Abaco - Messages, Executions, and Logs - Executions. Executions Once you send a message to an actor, that actor will create an execution for the actor  with the inputted data. This execution will be queued waiting for a worker to spool up  or waiting for a worker to be freed. When the execution is initially created it is  given an execution_id so that you can access information about it using the execution_id endpoint."
64,"What is the introduction to Abaco - Messages, Executions, and Logs - Executions - Access execution data - Results?",23,"Introduction to Abaco - Messages, Executions, and Logs - Executions - Access execution data - Results. cURL You can access the execution_id endpoint using cURL with the following:. . Python You can access the execution_id endpoint using tapipy and Python with the following:. . Results Access the execution_id endpoint will result in something similar to the following:"
65,What does cURL mean?,23,"Introduction to Abaco - Messages, Executions, and Logs - Executions - Access execution data - Results. cURL You can access the execution_id endpoint using cURL with the following:. . Python You can access the execution_id endpoint using tapipy and Python with the following:. . Results Access the execution_id endpoint will result in something similar to the following:"
66,How can you access the execution_id endpoint?,23,"Introduction to Abaco - Messages, Executions, and Logs - Executions - Access execution data - Results. cURL You can access the execution_id endpoint using cURL with the following:. . Python You can access the execution_id endpoint using tapipy and Python with the following:. . Results Access the execution_id endpoint will result in something similar to the following:"
67,What does cURL List executions with?,24,"Introduction to Abaco - Messages, Executions, and Logs - Executions - List executions - Results. cURL List executions with cURL by getting the executions endpoint. . Python To list executions with tapipy the following is done:. . Results Calling the list of executions should result in something similar to:"
68,What is the name of the list of executions that should result in something similar?,24,"Introduction to Abaco - Messages, Executions, and Logs - Executions - List executions - Results. cURL List executions with cURL by getting the executions endpoint. . Python To list executions with tapipy the following is done:. . Results Calling the list of executions should result in something similar to:"
69,What does tapipy come with to retrieve the binary data?,25,"Introduction to Abaco - Messages, Executions, and Logs - Executions - Reading message in execution - Python - Reading in binary. Python - Reading in raw string data or JSON To retrieve JSON or raw data from inside of an execution using Python and  tapipy, you would get the message context from within the actor and then  get it’s raw_message field.. . Python - Reading in binary Binary data is transmitted to an execution through a FIFO pipe located at  /_abaco_binary_data. Reading from a pipe is similar to reading from a regular  file, however tapipy comes with an easy to use get_binary_message()  function to retrieve the binary data. Note: Each Abaco execution processes one message, binary or not. This means  that reading from the FIFO pipe will result with exactly the entire sent  message."
70,What is the name of the FIFO pipe that is located at /_abaco_binary_data?,25,"Introduction to Abaco - Messages, Executions, and Logs - Executions - Reading message in execution - Python - Reading in binary. Python - Reading in raw string data or JSON To retrieve JSON or raw data from inside of an execution using Python and  tapipy, you would get the message context from within the actor and then  get it’s raw_message field.. . Python - Reading in binary Binary data is transmitted to an execution through a FIFO pipe located at  /_abaco_binary_data. Reading from a pipe is similar to reading from a regular  file, however tapipy comes with an easy to use get_binary_message()  function to retrieve the binary data. Note: Each Abaco execution processes one message, binary or not. This means  that reading from the FIFO pipe will result with exactly the entire sent  message."
71,How many messages does each Abaco execution process?,25,"Introduction to Abaco - Messages, Executions, and Logs - Executions - Reading message in execution - Python - Reading in binary. Python - Reading in raw string data or JSON To retrieve JSON or raw data from inside of an execution using Python and  tapipy, you would get the message context from within the actor and then  get it’s raw_message field.. . Python - Reading in binary Binary data is transmitted to an execution through a FIFO pipe located at  /_abaco_binary_data. Reading from a pipe is similar to reading from a regular  file, however tapipy comes with an easy to use get_binary_message()  function to retrieve the binary data. Note: Each Abaco execution processes one message, binary or not. This means  that reading from the FIFO pipe will result with exactly the entire sent  message."
72,"What is the introduction to Abaco - Messages, Executions, and Logs - Logs?",26,"Introduction to Abaco - Messages, Executions, and Logs - Logs. Logs At any point of an execution you are also able to access the execution logs  using the logs endpoint. This returns information  about the log along with the log itself. If the execution is still in the  submitted phase, then the log will be an empty string, but once the execution  is in the completed phase the log would contain all outputted command line data."
73,How do you access the execution logs at any point of an execution?,26,"Introduction to Abaco - Messages, Executions, and Logs - Logs. Logs At any point of an execution you are also able to access the execution logs  using the logs endpoint. This returns information  about the log along with the log itself. If the execution is still in the  submitted phase, then the log will be an empty string, but once the execution  is in the completed phase the log would contain all outputted command line data."
74,What does the log return along with the log itself?,26,"Introduction to Abaco - Messages, Executions, and Logs - Logs. Logs At any point of an execution you are also able to access the execution logs  using the logs endpoint. This returns information  about the log along with the log itself. If the execution is still in the  submitted phase, then the log will be an empty string, but once the execution  is in the completed phase the log would contain all outputted command line data."
75,What is Abaco's introduction to database search?,27,"Introduction to Abaco - Database Search. Database Search With the introduction of Abaco 1.6 database searching has been introduced using  the Mongo aggregation system, full-text searching, and indexing. Searching can be  done on actor, worker, execution, and log information. This feature allows for users  to search based on any information across all objects that they have permission  to view. For example, search would allow checking of all viewable executions for  ERRORS in one easy call. The search currently makes use of logical operators and  datetime to allow for easy searching of any object based on any specific field.. Attention Search in Abaco was implemented in version 1.6.. Search is available on the actors, workers, executions, and logs databases. Search  has been implemented on a new {base}/actors/search/{database} endpoint alongside being  implemented on the {base}/actors, {base}/actors/{actor_id}/workers,  {base}/actors/{actor_id}/executions, and  ``{base}/actors/{actor_id}/executions/{execution_id}/logs``endpoints. To use search on the {base}/actors/search/{database} endpoint the database to be searched  must be specified as either actors, workers, executions, or logs in the URL.  With no query arguments Abaco will return all entries in the database that you have  permission to view. To specify query arguments the user can add a ? to the end of  their url and specify the parameters they are looking to implement. A table of search parameters, their function, and examples are below.. . . . Parameter relates to Function relates to Examples. . . search relates to Completes a fuzzy full-text search based on inputs. Returns results by best accuracy/score. relates to ?search=stringToSearchFor. . exactsearch relates to Completes a full-text search and looks for exact matches with inputs. relates to ?exactsearch=stringToMatchExactly. . eq relates to Checks if given value is equal to db value matching given key. relates to ?id.eq=AKY5o4Z847lB3. . neq relates to Checks if given value is not equal to db value matching given key. relates to ?id.neq=AKY5o4Z847lB3. . gt relates to Checks if given value is greater than db value matching given key. relates to ?start_time.gt=2020-04-29+06:00. . gte relates to Checks if given value is greater than or equal to db value matching given key. relates to ?runtime.gte=423. . lt relates to Checks if given value is less than db value matching given key. relates to ?message_received_time.lt=2020. . lte relates to Checks if given value is less than or equal to db value matching given key. relates to ?final_state.FinishedAt.lte=2020-04-29. . in relates to Checks if db value matching given key match any values in the given list of values. relates to ?status.in=[“BUSY”,”REQUESTED”,”READY”]. . nin relates to Checks if db value matching given key does not match any values in the given list of values. relates to ?status.nin=[“COMPLETED”, “READY”]. . like relates to Checks if given value in (through regex) db value matching given key. relates to ?image.like=abaco_docker_username. . nlike relates to Checks if given value not in (through regex) db value matching given key. relates to ?image.nlike=abaco_test. . between relates to Checks if db value matching given key is greater than or equal to first given value, and less than or equal to second given value. relates to ?start_time.between=  2020-04-29T20:15:52:246Z,  2021-06-24-05:00. . limit relates to Sets a limit on total amount of results returned. Defaults to 10 results. relates to ?limit=20. . skip relates to Skips a specified amount of results when returning. relates to ?skip=4. . . You may use as many parameters as you want in one query sans limit and skip, where each may only be used once."
76,What is the name of the system that allows users to search based on information across all objects that they have permission to view?,27,"Introduction to Abaco - Database Search. Database Search With the introduction of Abaco 1.6 database searching has been introduced using  the Mongo aggregation system, full-text searching, and indexing. Searching can be  done on actor, worker, execution, and log information. This feature allows for users  to search based on any information across all objects that they have permission  to view. For example, search would allow checking of all viewable executions for  ERRORS in one easy call. The search currently makes use of logical operators and  datetime to allow for easy searching of any object based on any specific field.. Attention Search in Abaco was implemented in version 1.6.. Search is available on the actors, workers, executions, and logs databases. Search  has been implemented on a new {base}/actors/search/{database} endpoint alongside being  implemented on the {base}/actors, {base}/actors/{actor_id}/workers,  {base}/actors/{actor_id}/executions, and  ``{base}/actors/{actor_id}/executions/{execution_id}/logs``endpoints. To use search on the {base}/actors/search/{database} endpoint the database to be searched  must be specified as either actors, workers, executions, or logs in the URL.  With no query arguments Abaco will return all entries in the database that you have  permission to view. To specify query arguments the user can add a ? to the end of  their url and specify the parameters they are looking to implement. A table of search parameters, their function, and examples are below.. . . . Parameter relates to Function relates to Examples. . . search relates to Completes a fuzzy full-text search based on inputs. Returns results by best accuracy/score. relates to ?search=stringToSearchFor. . exactsearch relates to Completes a full-text search and looks for exact matches with inputs. relates to ?exactsearch=stringToMatchExactly. . eq relates to Checks if given value is equal to db value matching given key. relates to ?id.eq=AKY5o4Z847lB3. . neq relates to Checks if given value is not equal to db value matching given key. relates to ?id.neq=AKY5o4Z847lB3. . gt relates to Checks if given value is greater than db value matching given key. relates to ?start_time.gt=2020-04-29+06:00. . gte relates to Checks if given value is greater than or equal to db value matching given key. relates to ?runtime.gte=423. . lt relates to Checks if given value is less than db value matching given key. relates to ?message_received_time.lt=2020. . lte relates to Checks if given value is less than or equal to db value matching given key. relates to ?final_state.FinishedAt.lte=2020-04-29. . in relates to Checks if db value matching given key match any values in the given list of values. relates to ?status.in=[“BUSY”,”REQUESTED”,”READY”]. . nin relates to Checks if db value matching given key does not match any values in the given list of values. relates to ?status.nin=[“COMPLETED”, “READY”]. . like relates to Checks if given value in (through regex) db value matching given key. relates to ?image.like=abaco_docker_username. . nlike relates to Checks if given value not in (through regex) db value matching given key. relates to ?image.nlike=abaco_test. . between relates to Checks if db value matching given key is greater than or equal to first given value, and less than or equal to second given value. relates to ?start_time.between=  2020-04-29T20:15:52:246Z,  2021-06-24-05:00. . limit relates to Sets a limit on total amount of results returned. Defaults to 10 results. relates to ?limit=20. . skip relates to Skips a specified amount of results when returning. relates to ?skip=4. . . You may use as many parameters as you want in one query sans limit and skip, where each may only be used once."
77,When was Attention Search implemented?,27,"Introduction to Abaco - Database Search. Database Search With the introduction of Abaco 1.6 database searching has been introduced using  the Mongo aggregation system, full-text searching, and indexing. Searching can be  done on actor, worker, execution, and log information. This feature allows for users  to search based on any information across all objects that they have permission  to view. For example, search would allow checking of all viewable executions for  ERRORS in one easy call. The search currently makes use of logical operators and  datetime to allow for easy searching of any object based on any specific field.. Attention Search in Abaco was implemented in version 1.6.. Search is available on the actors, workers, executions, and logs databases. Search  has been implemented on a new {base}/actors/search/{database} endpoint alongside being  implemented on the {base}/actors, {base}/actors/{actor_id}/workers,  {base}/actors/{actor_id}/executions, and  ``{base}/actors/{actor_id}/executions/{execution_id}/logs``endpoints. To use search on the {base}/actors/search/{database} endpoint the database to be searched  must be specified as either actors, workers, executions, or logs in the URL.  With no query arguments Abaco will return all entries in the database that you have  permission to view. To specify query arguments the user can add a ? to the end of  their url and specify the parameters they are looking to implement. A table of search parameters, their function, and examples are below.. . . . Parameter relates to Function relates to Examples. . . search relates to Completes a fuzzy full-text search based on inputs. Returns results by best accuracy/score. relates to ?search=stringToSearchFor. . exactsearch relates to Completes a full-text search and looks for exact matches with inputs. relates to ?exactsearch=stringToMatchExactly. . eq relates to Checks if given value is equal to db value matching given key. relates to ?id.eq=AKY5o4Z847lB3. . neq relates to Checks if given value is not equal to db value matching given key. relates to ?id.neq=AKY5o4Z847lB3. . gt relates to Checks if given value is greater than db value matching given key. relates to ?start_time.gt=2020-04-29+06:00. . gte relates to Checks if given value is greater than or equal to db value matching given key. relates to ?runtime.gte=423. . lt relates to Checks if given value is less than db value matching given key. relates to ?message_received_time.lt=2020. . lte relates to Checks if given value is less than or equal to db value matching given key. relates to ?final_state.FinishedAt.lte=2020-04-29. . in relates to Checks if db value matching given key match any values in the given list of values. relates to ?status.in=[“BUSY”,”REQUESTED”,”READY”]. . nin relates to Checks if db value matching given key does not match any values in the given list of values. relates to ?status.nin=[“COMPLETED”, “READY”]. . like relates to Checks if given value in (through regex) db value matching given key. relates to ?image.like=abaco_docker_username. . nlike relates to Checks if given value not in (through regex) db value matching given key. relates to ?image.nlike=abaco_test. . between relates to Checks if db value matching given key is greater than or equal to first given value, and less than or equal to second given value. relates to ?start_time.between=  2020-04-29T20:15:52:246Z,  2021-06-24-05:00. . limit relates to Sets a limit on total amount of results returned. Defaults to 10 results. relates to ?limit=20. . skip relates to Skips a specified amount of results when returning. relates to ?skip=4. . . You may use as many parameters as you want in one query sans limit and skip, where each may only be used once."
78,"How is search available on the actors, workers, executions and logs databases?",27,"Introduction to Abaco - Database Search. Database Search With the introduction of Abaco 1.6 database searching has been introduced using  the Mongo aggregation system, full-text searching, and indexing. Searching can be  done on actor, worker, execution, and log information. This feature allows for users  to search based on any information across all objects that they have permission  to view. For example, search would allow checking of all viewable executions for  ERRORS in one easy call. The search currently makes use of logical operators and  datetime to allow for easy searching of any object based on any specific field.. Attention Search in Abaco was implemented in version 1.6.. Search is available on the actors, workers, executions, and logs databases. Search  has been implemented on a new {base}/actors/search/{database} endpoint alongside being  implemented on the {base}/actors, {base}/actors/{actor_id}/workers,  {base}/actors/{actor_id}/executions, and  ``{base}/actors/{actor_id}/executions/{execution_id}/logs``endpoints. To use search on the {base}/actors/search/{database} endpoint the database to be searched  must be specified as either actors, workers, executions, or logs in the URL.  With no query arguments Abaco will return all entries in the database that you have  permission to view. To specify query arguments the user can add a ? to the end of  their url and specify the parameters they are looking to implement. A table of search parameters, their function, and examples are below.. . . . Parameter relates to Function relates to Examples. . . search relates to Completes a fuzzy full-text search based on inputs. Returns results by best accuracy/score. relates to ?search=stringToSearchFor. . exactsearch relates to Completes a full-text search and looks for exact matches with inputs. relates to ?exactsearch=stringToMatchExactly. . eq relates to Checks if given value is equal to db value matching given key. relates to ?id.eq=AKY5o4Z847lB3. . neq relates to Checks if given value is not equal to db value matching given key. relates to ?id.neq=AKY5o4Z847lB3. . gt relates to Checks if given value is greater than db value matching given key. relates to ?start_time.gt=2020-04-29+06:00. . gte relates to Checks if given value is greater than or equal to db value matching given key. relates to ?runtime.gte=423. . lt relates to Checks if given value is less than db value matching given key. relates to ?message_received_time.lt=2020. . lte relates to Checks if given value is less than or equal to db value matching given key. relates to ?final_state.FinishedAt.lte=2020-04-29. . in relates to Checks if db value matching given key match any values in the given list of values. relates to ?status.in=[“BUSY”,”REQUESTED”,”READY”]. . nin relates to Checks if db value matching given key does not match any values in the given list of values. relates to ?status.nin=[“COMPLETED”, “READY”]. . like relates to Checks if given value in (through regex) db value matching given key. relates to ?image.like=abaco_docker_username. . nlike relates to Checks if given value not in (through regex) db value matching given key. relates to ?image.nlike=abaco_test. . between relates to Checks if db value matching given key is greater than or equal to first given value, and less than or equal to second given value. relates to ?start_time.between=  2020-04-29T20:15:52:246Z,  2021-06-24-05:00. . limit relates to Sets a limit on total amount of results returned. Defaults to 10 results. relates to ?limit=20. . skip relates to Skips a specified amount of results when returning. relates to ?skip=4. . . You may use as many parameters as you want in one query sans limit and skip, where each may only be used once."
79,What does Abaco search alter the expected result of a request?,28,"Introduction to Abaco - Database Search - Inputs. Metadata Abaco search slightly alters the expected result of a request in the fact that the returned  result from a search now returns two objects, the expected result, search, and _metadata. This new _metadata object returns pertinent information about the amount of records returned,  the amount of records the return is limited to, the amount of records skipped (specified in query),  and the total amount of records that match the query searched for. This is useful to implement paging  or to only receive a set amount of records.. Important A new _metadata object is now returned alongside the usual result in result.. . . Inputs All inputs are given to the search function as query parameters and thus are converted  to strings. It is then up to Abaco’s side to convert these inputs back to the intended  formats. Strings are left untouched. Booleans are expected to be “False” or “false” and  “True” or “true” to be converted. Numbers are converted all to floats, these are still  comparable to database instances of int, so there should be no issue. Lists are parsed  with json.loads and will accept either [""test""] or ['test'] with post-processing  on Abaco’s end to convert to lists. The last consumed input type is datetime objects. Abaco accepts a broad range of ISO 8601  like strings. An example of the most detailed string accepted is 2020-04-29T20:15:52:246252-06:00.  2020-04-29T20:15:52:246Z, 2020-04-29T20:15:52-06:00, 2020-04-29T20:15-06:00,  2020-04-29T20-06:00, 2020-04-29-06:00, 2020-04Z, and 2020 are also acceptable.. Attention Abaco stores all times in UTC, so addition of your timezone or conversion to UTC is  important. If no timezone information is given (-06:00 or Z (to signal UTC))  the datetime is assumed to be in UTC..  Important Comparison with datetime rounds to the minimum time possible. For instance if you want  to see if 2020-12-30 is greater than 2020, you would receive True as 2020 is rounded  to 2020-01-01T00:00:00Z. This holds true until you reach millisecond accurate time."
80,What does a new _metadata object return?,28,"Introduction to Abaco - Database Search - Inputs. Metadata Abaco search slightly alters the expected result of a request in the fact that the returned  result from a search now returns two objects, the expected result, search, and _metadata. This new _metadata object returns pertinent information about the amount of records returned,  the amount of records the return is limited to, the amount of records skipped (specified in query),  and the total amount of records that match the query searched for. This is useful to implement paging  or to only receive a set amount of records.. Important A new _metadata object is now returned alongside the usual result in result.. . . Inputs All inputs are given to the search function as query parameters and thus are converted  to strings. It is then up to Abaco’s side to convert these inputs back to the intended  formats. Strings are left untouched. Booleans are expected to be “False” or “false” and  “True” or “true” to be converted. Numbers are converted all to floats, these are still  comparable to database instances of int, so there should be no issue. Lists are parsed  with json.loads and will accept either [""test""] or ['test'] with post-processing  on Abaco’s end to convert to lists. The last consumed input type is datetime objects. Abaco accepts a broad range of ISO 8601  like strings. An example of the most detailed string accepted is 2020-04-29T20:15:52:246252-06:00.  2020-04-29T20:15:52:246Z, 2020-04-29T20:15:52-06:00, 2020-04-29T20:15-06:00,  2020-04-29T20-06:00, 2020-04-29-06:00, 2020-04Z, and 2020 are also acceptable.. Attention Abaco stores all times in UTC, so addition of your timezone or conversion to UTC is  important. If no timezone information is given (-06:00 or Z (to signal UTC))  the datetime is assumed to be in UTC..  Important Comparison with datetime rounds to the minimum time possible. For instance if you want  to see if 2020-12-30 is greater than 2020, you would receive True as 2020 is rounded  to 2020-01-01T00:00:00Z. This holds true until you reach millisecond accurate time."
81,How many objects are returned from a search?,28,"Introduction to Abaco - Database Search - Inputs. Metadata Abaco search slightly alters the expected result of a request in the fact that the returned  result from a search now returns two objects, the expected result, search, and _metadata. This new _metadata object returns pertinent information about the amount of records returned,  the amount of records the return is limited to, the amount of records skipped (specified in query),  and the total amount of records that match the query searched for. This is useful to implement paging  or to only receive a set amount of records.. Important A new _metadata object is now returned alongside the usual result in result.. . . Inputs All inputs are given to the search function as query parameters and thus are converted  to strings. It is then up to Abaco’s side to convert these inputs back to the intended  formats. Strings are left untouched. Booleans are expected to be “False” or “false” and  “True” or “true” to be converted. Numbers are converted all to floats, these are still  comparable to database instances of int, so there should be no issue. Lists are parsed  with json.loads and will accept either [""test""] or ['test'] with post-processing  on Abaco’s end to convert to lists. The last consumed input type is datetime objects. Abaco accepts a broad range of ISO 8601  like strings. An example of the most detailed string accepted is 2020-04-29T20:15:52:246252-06:00.  2020-04-29T20:15:52:246Z, 2020-04-29T20:15:52-06:00, 2020-04-29T20:15-06:00,  2020-04-29T20-06:00, 2020-04-29-06:00, 2020-04Z, and 2020 are also acceptable.. Attention Abaco stores all times in UTC, so addition of your timezone or conversion to UTC is  important. If no timezone information is given (-06:00 or Z (to signal UTC))  the datetime is assumed to be in UTC..  Important Comparison with datetime rounds to the minimum time possible. For instance if you want  to see if 2020-12-30 is greater than 2020, you would receive True as 2020 is rounded  to 2020-01-01T00:00:00Z. This holds true until you reach millisecond accurate time."
82,Why are strings left untouched?,28,"Introduction to Abaco - Database Search - Inputs. Metadata Abaco search slightly alters the expected result of a request in the fact that the returned  result from a search now returns two objects, the expected result, search, and _metadata. This new _metadata object returns pertinent information about the amount of records returned,  the amount of records the return is limited to, the amount of records skipped (specified in query),  and the total amount of records that match the query searched for. This is useful to implement paging  or to only receive a set amount of records.. Important A new _metadata object is now returned alongside the usual result in result.. . . Inputs All inputs are given to the search function as query parameters and thus are converted  to strings. It is then up to Abaco’s side to convert these inputs back to the intended  formats. Strings are left untouched. Booleans are expected to be “False” or “false” and  “True” or “true” to be converted. Numbers are converted all to floats, these are still  comparable to database instances of int, so there should be no issue. Lists are parsed  with json.loads and will accept either [""test""] or ['test'] with post-processing  on Abaco’s end to convert to lists. The last consumed input type is datetime objects. Abaco accepts a broad range of ISO 8601  like strings. An example of the most detailed string accepted is 2020-04-29T20:15:52:246252-06:00.  2020-04-29T20:15:52:246Z, 2020-04-29T20:15:52-06:00, 2020-04-29T20:15-06:00,  2020-04-29T20-06:00, 2020-04-29-06:00, 2020-04Z, and 2020 are also acceptable.. Attention Abaco stores all times in UTC, so addition of your timezone or conversion to UTC is  important. If no timezone information is given (-06:00 or Z (to signal UTC))  the datetime is assumed to be in UTC..  Important Comparison with datetime rounds to the minimum time possible. For instance if you want  to see if 2020-12-30 is greater than 2020, you would receive True as 2020 is rounded  to 2020-01-01T00:00:00Z. This holds true until you reach millisecond accurate time."
